Make,cc,Age,Gender,DriveStyle,Serviced,Daily_commute,Commute_type,mpg,l_day
Audi,1500,23,female,rational,no,42,urban,37.33254518933333,6.328258595867217
Opel,2500,36,male,rational,yes,35,urban,26.133072,7.533557478431928
Peugeot,1300,39,male,rational,yes,47,highway,65.33326153846153,4.046560569218836
Seat,2500,42,male,rational,yes,45,highway,33.973296,7.450704812391474
Volkswagen,2000,53,male,rational,yes,33,urban,32.66634,5.682454783731511
Hyundai,1000,50,male,rational,yes,28,highway,84.93324,1.854397642195211
Toyota,2000,54,male,rational,yes,20,urban,32.66634,3.4439119901403092
Lexus,1500,42,female,rational,yes,43,highway,53.92586666666666,4.485324297059668
Renault,1300,33,female,rational,no,40,highway,55.99931624,4.017906201491863
Volkswagen,1500,53,female,rational,yes,41,urban,41.48106666666666,5.559765419082762
Ford,2000,32,female,speedy,yes,26,urban,27.99972,5.22326651837947
BMW,1500,28,male,speedy,yes,31,highway,50.95994399999999,3.4218051730983072
Volkswagen,2000,39,female,rational,yes,30,rural,35.99996,4.68750520833912
Vauxhall,1600,18,female,distracted,yes,32,urban,38.8885,4.628617714748575
Vauxhall,1000,26,female,rational,yes,31,urban,62.221599999999995,2.8024833819766775
Citroen,1300,59,male,slow,yes,44,rural,58.15378153846154,4.255957109793614
Audi,1300,29,male,rational,yes,48,rural,58.15378153846154,4.642862301593033
BMW,2000,47,female,rational,no,33,highway,36.399555556,5.099650178816595
Mazda,2500,21,male,rational,no,24,highway,30.575626667039998,4.415281540100948
Volkswagen,1500,26,female,rational,yes,48,urban,41.48106666666666,6.508993661365184
Audi,2000,33,female,rational,yes,26,urban,31.110799999999998,4.700939866541523
Hyundai,1400,84,female,speedy,yes,49,highway,51.999942857142855,5.3004865939413115
Audi,1500,32,male,speedy,yes,46,highway,50.95994399999999,5.077517353629746
Citroen,1300,58,female,rational,no,34,urban,43.076013679999996,4.439825872021127
Kia,2000,20,male,rational,no,40,urban,29.3993793366,7.65322279167615
Ford,2000,57,male,rational,yes,30,urban,32.66634,5.165867985210464
Ford,1300,52,female,speedy,no,36,highway,50.39938461599999,4.017906201491863
Opel,1600,42,male,rational,yes,30,urban,40.832924999999996,4.132694388168372
Audi,1400,17,male,distracted,yes,25,urban,46.6662,3.013422991372771
Ford,1500,50,male,speedy,yes,44,highway,50.95994399999999,4.856755729558888
Peugeot,1400,28,female,rational,yes,41,highway,57.77771428571429,3.991590924825191
Volkswagen,2400,40,female,rational,no,48,highway,30.33296296333333,8.901207584843512
Citroen,2000,23,female,distracted,no,30,highway,36.399555556,4.636045617105995
Audi,2000,33,female,rational,yes,22,urban,31.110799999999998,3.977718348612058
Nissan,2000,61,male,rational,yes,45,highway,42.46662,5.960563849913179
Toyota,2000,34,male,nervous,no,38,highway,40.13051000049,5.32637138170908
Seat,1000,25,male,speedy,yes,26,urban,58.799412000000004,2.48726977065689
Hyundai,1000,42,male,rational,yes,47,highway,84.93324,3.1127388993991043
Nissan,1300,46,female,rational,yes,27,highway,62.222153846153844,2.4408508965394464
Vauxhall,1500,79,male,speedy,no,22,urban,35.27925520392,3.507727112851569
Hyundai,1500,74,male,slow,no,46,highway,50.9593777784,5.07757377111609
Volkswagen,2000,55,female,speedy,yes,47,urban,27.99972,9.44205870630135
Volkswagen,1600,25,male,nervous,yes,36,highway,55.737438749999995,3.6331055847089853
Skoda,1400,29,female,rational,yes,44,highway,57.77771428571429,4.283658553470937
Audi,1000,26,male,rational,yes,29,urban,65.33268,2.4968361928517244
Peugeot,1600,61,male,rational,yes,27,highway,53.083275,2.861070647958326
Opel,1400,61,male,nervous,no,34,highway,57.3293000007,3.335990496965161
Hyundai,1000,66,male,rational,yes,33,highway,84.93324,2.1855400783014987
Lexus,1600,20,male,distracted,no,21,urban,36.74922417075,3.214353572503984
Honda,2400,39,female,rational,no,26,urban,23.332840743333332,6.267989466382768
BMW,1600,52,male,distracted,no,41,highway,47.774416667249994,4.827374483843704
Nissan,2000,43,male,speedy,yes,42,highway,38.219958000000005,6.181325473984036
Opel,1600,16,female,distracted,no,47,urban,34.999261114999996,7.553730895384362
Renault,2000,41,male,rational,yes,24,rural,37.799958,3.571432539686949
Ford,2500,52,male,rational,no,34,highway,30.575626667039998,6.254982181809676
Hyundai,1600,25,male,speedy,yes,26,urban,36.7496325,3.9796316330510244
Toyota,1300,45,female,rational,yes,38,urban,47.86276923076923,4.465892873214446
BMW,2000,53,female,rational,yes,35,highway,40.4444,4.867793810762429
Toyota,1600,37,female,nervous,no,34,urban,36.74922417075,5.2041914983397835
Opel,1500,28,male,rational,no,37,urban,39.1991724488,5.30942331172533
Volkswagen,2500,25,female,rational,yes,21,highway,32.35552,3.6508453580718223
Hyundai,1500,36,female,rational,yes,49,highway,53.92586666666666,5.111183501300552
Hyundai,1300,36,female,rational,yes,42,highway,62.222153846153844,3.7968791723946946
Toyota,1300,35,female,rational,no,43,urban,43.076013679999996,5.615073896967896
Mazda,2400,53,male,speedy,yes,25,highway,31.849965000000005,4.415232481417169
Audi,1600,21,male,slow,no,22,urban,36.74922417075,3.367418028337507
BMW,2000,40,female,rational,no,32,urban,27.999408891999998,6.428707145007968
Nissan,2400,61,male,rational,yes,35,urban,27.221950000000003,7.232215179294649
Renault,1500,25,male,rational,no,40,urban,39.1991724488,5.739917093757113
Volkswagen,2000,37,male,speedy,yes,32,urban,29.399706000000002,6.122510204693882
Subaru,1600,35,female,rational,yes,32,urban,38.8885,4.628617714748575
Toyota,2000,33,male,rational,yes,48,highway,42.46662,6.357934773240724
Skoda,2000,67,female,rational,yes,39,highway,40.4444,5.424113103420992
Volkswagen,1600,74,male,rational,yes,29,highway,53.083275,3.0730018070663503
Toyota,1600,46,female,rational,yes,25,highway,50.555499999999995,2.781596463292817
Skoda,1000,12,male,rational,yes,45,urban,65.33268,3.874400988907848
Skoda,1300,35,male,distracted,no,33,urban,45.229814364,4.104040722036335
Volvo,1500,27,male,nervous,yes,27,urban,45.732876000000005,3.3209151333495837
Mercedes Benz,1000,66,male,rational,no,37,highway,76.43906666759999,2.7227569497289186
Opel,2000,19,male,speedy,yes,44,urban,29.399706000000002,8.418451531454089
Mazda,1500,34,male,rational,yes,27,highway,56.622159999999994,2.682253732460931
Skoda,1500,26,female,rational,yes,43,highway,53.92586666666666,4.485324297059668
Hyundai,1000,61,male,rational,yes,31,highway,84.93324,2.0530831038589836
Citroen,2500,58,female,rational,yes,20,urban,24.88864,4.520134487059157
Toyota,1400,35,female,rational,no,38,highway,51.99936508,4.110627113833983
Nissan,1300,29,female,nervous,no,49,urban,45.229814364,6.093878647872135
Toyota,1600,42,male,speedy,yes,22,highway,47.774947499999996,2.5902697224314064
Volkswagen,1000,40,female,rational,no,36,urban,55.998817783999996,3.6161477690669814
Volkswagen,1400,40,male,rational,yes,44,highway,60.6666,4.079674812829464
Skoda,1500,45,male,speedy,yes,34,urban,39.199608,4.878875319365438
Toyota,1600,27,female,rational,yes,31,urban,38.8885,4.483973411162682
Vauxhall,2000,27,male,rational,no,47,highway,38.219533333799994,6.9172744128248205
Ford,2400,37,female,rational,yes,32,highway,33.70366666666667,5.340665209522207
Vauxhall,2000,45,male,speedy,yes,43,urban,29.399706000000002,8.227123087557406
Peugeot,1500,70,male,rational,yes,40,urban,43.555119999999995,5.165867985210464
Hyundai,1600,62,female,rational,no,47,highway,45.499444444999995,5.810510506772848
Hyundai,1300,25,male,rational,yes,20,highway,65.33326153846153,1.7219406677526963
Peugeot,1500,34,male,distracted,no,47,urban,39.1991724488,6.744402585164608
Dacia,2000,51,male,distracted,yes,30,urban,32.66634,5.165867985210464
Vauxhall,1400,25,female,rational,yes,41,highway,57.77771428571429,3.991590924825191
Volkswagen,1400,29,female,rational,yes,25,urban,44.444,3.164094140941409
Kia,1600,57,male,rational,yes,42,highway,53.083275,4.450554341268507
Audi,2000,36,male,rational,yes,39,urban,32.66634,6.7156283807736035
Toyota,1600,26,male,speedy,yes,35,highway,47.774947499999996,4.120883649322692
Hyundai,1500,50,female,rational,yes,46,highway,53.92586666666666,4.79825389918011
Seat,1600,53,female,rational,yes,34,urban,38.8885,4.917906321920362
Volkswagen,1400,41,male,rational,yes,32,highway,60.6666,2.9670362275123376
Kia,1600,44,male,rational,yes,27,urban,40.832924999999996,3.7194249493515343
Hyundai,1600,50,male,rational,no,33,urban,36.74922417075,5.05112704250626
Opel,1600,28,male,speedy,yes,47,highway,47.774947499999996,5.533758043376186
Ford,2000,21,male,distracted,yes,24,urban,32.66634,4.132694388168371
Mercedes Benz,1300,61,female,rational,no,41,highway,55.99931624,4.1183538565291595
Hyundai,2400,71,female,nervous,no,49,highway,31.849611111500003,8.653951818597857
Seat,1300,22,male,rational,yes,46,urban,50.25590769230769,5.148648425259763
Volkswagen,2000,26,female,rational,no,34,urban,27.999408891999998,6.830501341570965
Volkswagen,1600,30,female,rational,yes,47,urban,38.8885,6.79828226853697
Mercedes Benz,2000,27,female,rational,yes,25,urban,31.110799999999998,4.520134487059157
Volkswagen,2400,38,female,rational,yes,35,highway,33.70366666666667,5.841352572914914
Audi,1300,72,male,rational,no,26,urban,45.229814364,3.2334866294831732
Ford,2500,43,male,rational,yes,34,urban,26.133072,7.318312979048159
Fiat,2000,65,female,speedy,no,30,urban,25.199468002799996,6.696569942716632
Ford,2000,41,female,rational,yes,42,highway,40.4444,5.841352572914914
Kia,2000,28,male,rational,yes,39,urban,32.66634,6.7156283807736035
Volkswagen,2400,67,male,distracted,no,35,rural,28.349653500350005,6.944529321939309
Mercedes Benz,2000,64,female,rational,yes,41,highway,40.4444,5.702272749750273
Hyundai,1300,30,female,speedy,yes,42,urban,43.076492307692305,5.484429844298443
Hyundai,1600,38,female,nervous,yes,25,urban,40.832924999999996,3.4439119901403097
Ford,1400,50,male,rational,no,26,urban,41.999113338,3.4822163702126487
Hyundai,1000,38,female,distracted,yes,22,urban,62.221599999999995,1.988859174306029
Peugeot,1500,44,male,rational,no,24,urban,39.1991724488,3.4439502562542677
BMW,2000,33,male,rational,yes,47,urban,32.66634,8.093193176829727
Ford,1600,30,male,speedy,no,38,urban,33.074301753674995,6.462721468526529
Nissan,1600,42,male,speedy,yes,47,urban,36.7496325,7.193949490515314
Ford,2000,27,female,rational,yes,36,urban,31.110799999999998,6.508993661365186
BMW,1600,31,female,nervous,no,29,highway,47.774416667249994,3.4144843910114
BMW,2000,26,female,rational,no,29,highway,36.399555556,4.481510763202462
Skoda,2000,55,female,speedy,yes,41,highway,36.39996,6.335858610833638
Audi,2400,35,male,slow,yes,33,highway,35.388850000000005,5.245296187923596
BMW,1300,39,male,nervous,yes,42,urban,52.76870307692308,4.477085587182402
Peugeot,1300,33,male,speedy,yes,29,urban,45.23031692307692,3.606541167452491
Skoda,2000,66,male,rational,no,22,urban,29.3993793366,4.209272535421882
Honda,1600,70,male,rational,no,27,urban,36.74922417075,4.132740307505122
Renault,1600,59,female,rational,no,49,urban,34.999261114999996,7.87516625263476
Skoda,1000,22,male,rational,yes,24,urban,65.33268,2.0663471940841855
Audi,2000,35,male,rational,yes,43,highway,42.46662,5.6956499010281485
Toyota,1600,27,female,rational,yes,37,rural,44.99995,4.625005138894599
Ford,2000,44,male,rational,no,35,highway,38.219533333799994,5.15116179678444
Toyota,2000,44,male,speedy,yes,31,urban,29.399706000000002,5.931181760797199
Volkswagen,1300,37,male,nervous,no,24,urban,47.4913050822,2.842625608336856
Volkswagen,2400,58,female,speedy,yes,20,highway,30.3333,3.708795284390422
Volvo,1600,21,male,rational,yes,32,highway,53.083275,3.3908985457283864
Hyundai,1400,42,female,rational,yes,28,urban,44.444,3.5437854378543783
BMW,1600,60,male,rational,yes,38,highway,53.083275,4.026692023052459
Nissan,1300,30,male,rational,yes,43,highway,65.33326153846153,3.702172435668297
Mercedes Benz,1500,20,male,speedy,yes,39,highway,50.95994399999999,4.304851669381741
Skoda,2000,62,female,rational,yes,34,urban,31.110799999999998,6.147382902400453
Hyundai,1600,64,male,nervous,yes,36,urban,42.874571249999995,4.723079300763853
Renault,1500,68,male,rational,yes,49,urban,43.555119999999995,6.328188281882818
Toyota,1500,28,male,rational,yes,25,highway,56.622159999999994,2.483568270797158
Dacia,900,70,male,rational,yes,42,highway,94.37026666666665,2.5034368169635353
Fiat,1500,33,male,rational,no,27,rural,45.35944560056,3.3482552087921675
Opel,1500,44,female,rational,no,39,rural,43.199472000533326,5.0781870666681215
BMW,1600,73,male,speedy,yes,48,highway,47.774947499999996,5.651497576213977
Ford,1400,20,male,distracted,no,29,highway,54.599333334,2.9876738421349747
Toyota,2000,31,male,rational,yes,38,urban,32.66634,6.543432781266588
Volkswagen,1600,45,female,speedy,yes,41,urban,34.999649999999995,6.589351607801793
Toyota,1600,39,male,speedy,yes,40,urban,36.7496325,6.122510204693884
Toyota,1400,72,male,rational,no,20,urban,41.999113338,2.678627977086653
Volkswagen,2400,25,female,rational,yes,31,urban,25.925666666666668,6.725960116744025
Toyota,1600,21,male,nervous,yes,43,highway,55.737438749999995,4.339542781735733
Renault,2000,61,female,speedy,no,29,rural,29.15964360036,5.594204176006667
Skoda,2000,26,female,rational,no,42,highway,36.399555556,6.490463863948393
Hyundai,1000,32,male,speedy,yes,31,urban,58.799412000000004,2.9655908803985995
Mercedes Benz,1600,40,male,nervous,yes,47,highway,55.737438749999995,4.7432211800367305
Renault,1500,29,female,rational,yes,48,urban,41.48106666666666,6.508993661365184
Volkswagen,1000,20,male,rational,yes,25,urban,65.33268,2.1524449938376935
Volkswagen,1600,32,female,slow,no,44,highway,45.499444444999995,5.439626857404369
Volkswagen,2500,27,male,rational,yes,39,highway,33.973296,6.457277504072611
Volkswagen,1500,61,female,rational,no,26,highway,48.53274074133333,3.0134296511188974
Mercedes Benz,2000,83,male,rational,yes,34,urban,32.66634,5.854650383238526
Skoda,1000,48,male,speedy,yes,39,urban,58.799412000000004,3.7309046559853347
BMW,1300,27,male,rational,yes,35,urban,50.25590769230769,3.9174498887846023
Vauxhall,2000,18,male,rational,no,34,rural,34.01958420042,5.621761832046109
BMW,1300,39,male,speedy,no,30,rural,47.10403966212,3.5824952851274223
Nissan,1600,60,male,rational,yes,38,urban,40.832924999999996,5.234746225013271
Opel,2000,36,male,rational,no,42,highway,38.219533333799994,6.181394156141328
Toyota,1000,32,female,speedy,yes,39,rural,64.799928,3.3854204282449203
Citroen,1600,36,male,rational,yes,20,highway,53.083275,2.1193115910802414
Mazda,2000,39,female,slow,no,47,rural,32.399604000400004,8.159821953278689
Hyundai,1600,40,male,rational,yes,35,highway,53.083275,3.7087952843904226
Ford,1500,61,male,rational,no,39,highway,50.9593777784,4.304899501598425
Opel,1300,25,male,speedy,yes,20,urban,45.23031692307692,2.4872697706568903
Volkswagen,2000,23,male,speedy,no,39,urban,26.45944140294,8.290991357649164
Ford,1300,25,male,rational,no,44,urban,45.229814364,5.472054296048447
Opel,1600,51,female,rational,no,43,urban,34.999261114999996,6.9108601808835655
Ford,1000,48,male,speedy,yes,40,rural,68.0399244,3.3068819811916192
Audi,1400,63,male,speedy,no,25,urban,37.7992020042,3.720316634842574
Volkswagen,2000,59,male,speedy,yes,30,highway,38.219958000000005,4.415232481417169
Toyota,2000,64,female,distracted,no,42,highway,36.399555556,6.490463863948393
Hyundai,1600,30,male,rational,no,27,highway,47.774416667249994,3.179002708872683
Toyota,2500,41,female,slow,no,45,highway,29.1196444448,8.692585532073743
Vauxhall,2000,62,male,speedy,yes,25,highway,38.219958000000005,3.6793604011809737
Ford,1600,57,male,nervous,yes,30,highway,55.737438749999995,3.027587987257488
Nissan,2000,67,male,rational,yes,33,highway,42.46662,4.371080156602997
Audi,1500,63,female,rational,no,20,highway,48.53274074133333,2.318022808552998
Audi,1400,48,male,speedy,yes,49,urban,41.99958,6.562565625656256
Renault,2000,37,female,rational,no,37,urban,27.999408891999998,7.433192636415463
Audi,1400,42,male,distracted,yes,32,highway,60.6666,2.9670362275123376
Nissan,1600,36,male,rational,no,36,urban,36.74922417075,5.5103204100068295
Ford,1300,34,female,rational,no,43,urban,43.076013679999996,5.615073896967896
Opel,1300,52,male,rational,yes,32,urban,50.25590769230769,3.5816684697459222
Volkswagen,1300,38,male,rational,yes,29,urban,50.25590769230769,3.2458870507072417
Mercedes Benz,1300,66,female,rational,no,48,highway,55.99931624,4.821487441790236
BMW,1000,29,female,rational,no,36,urban,55.998817783999996,3.6161477690669814
Hyundai,2000,67,male,rational,yes,48,highway,42.46662,6.357934773240724
Toyota,1600,28,female,rational,yes,28,urban,38.8885,4.050040500405004
Opel,1400,41,female,distracted,yes,34,highway,57.77771428571429,3.3100997913184513
Skoda,1600,59,male,rational,no,44,highway,47.774416667249994,5.180597007051779
BMW,1500,50,male,rational,no,49,highway,50.9593777784,5.408719886623661
Hyundai,1000,60,male,speedy,yes,49,urban,58.799412000000004,4.687546875468754
BMW,1300,32,male,speedy,no,38,urban,40.7068329276,5.250961193177804
Fiat,1000,28,male,rational,yes,28,highway,84.93324,1.854397642195211
Nissan,1300,37,male,rational,yes,33,highway,65.33326153846153,2.841202101791949
Volkswagen,1300,53,male,rational,no,42,rural,52.3378218468,4.513944059260552
Jaguar,2500,54,male,speedy,no,23,urban,21.167553122352,6.11194875724137
Hyundai,1600,77,male,rational,yes,45,rural,47.2499475,5.357148809530424
Volkswagen,2500,21,male,rational,no,36,highway,30.575626667039998,6.622922310151422
Ford,1000,41,female,speedy,yes,25,highway,72.79992,1.9316642106200115
Toyota,1600,58,male,rational,yes,25,urban,40.832924999999996,3.4439119901403097
Skoda,1600,64,female,speedy,yes,31,urban,34.999649999999995,4.982192679069648
Audi,1500,41,male,rational,yes,20,highway,56.622159999999994,1.9868546166377263
Volkswagen,1000,40,female,slow,yes,34,highway,80.8888,2.3643569937988937
Renault,1300,43,female,rational,no,24,highway,55.99931624,2.410743720895118
Ford,1300,41,male,slow,yes,22,urban,50.25590769230769,2.4623970729503215
Ford,1400,38,male,rational,yes,25,urban,46.6662,3.013422991372771
Skoda,1500,31,female,nervous,no,36,highway,50.9593777784,3.9737533860908534
Lexus,1600,41,female,rational,yes,38,highway,50.555499999999995,4.228026624205082
Honda,2000,20,male,speedy,no,44,rural,30.617625780378006,8.083579104902899
Audi,1300,40,male,rational,yes,31,urban,50.25590769230769,3.469741330066362
Skoda,2000,37,female,speedy,yes,39,highway,36.39996,6.026792337134436
Kia,1600,45,male,speedy,yes,26,rural,42.52495275,3.439157260439284
Ford,2000,40,male,rational,no,36,urban,29.3993793366,6.887900512508534
BMW,1600,57,female,rational,yes,20,urban,38.8885,2.8928860717178595
BMW,2000,72,female,rational,yes,25,highway,40.4444,3.4769955791160205
Kia,2400,49,female,rational,yes,31,urban,25.925666666666668,6.725960116744025
Toyota,2000,30,female,speedy,yes,42,urban,27.99972,8.437584375843759
Volkswagen,1500,62,male,rational,no,42,highway,50.9593777784,4.636045617105996
Hyundai,2000,38,male,distracted,yes,28,urban,32.66634,4.821476786196433
BMW,1300,58,male,speedy,yes,48,urban,45.23031692307692,5.969447449576537
Citroen,1300,29,male,nervous,no,26,urban,47.4913050822,3.0795110756982607
BMW,1400,25,male,rational,yes,46,highway,60.6666,4.265114577048985
Toyota,2000,33,female,rational,yes,41,urban,31.110799999999998,7.413020558777017
Seat,2000,25,female,speedy,yes,26,highway,36.39996,4.017861558089624
Peugeot,1600,39,female,rational,yes,39,urban,38.8885,5.641127839849826
Renault,2000,58,female,speedy,yes,34,highway,36.39996,5.254126652886431
Ford,1400,21,male,rational,yes,30,highway,60.6666,2.7815964632928165
Ford,1300,52,male,rational,yes,49,urban,50.25590769230769,5.484429844298443
Toyota,2000,40,female,speedy,yes,42,highway,36.39996,6.490391747683239
Mazda,1300,25,male,distracted,yes,21,urban,50.25590769230769,2.3504699332707615
Dacia,1600,29,male,rational,no,25,highway,47.774416667249994,2.9435210267339658
Ford,1600,39,female,rational,yes,36,urban,38.8885,5.2071949290921475
Volkswagen,1600,22,male,rational,yes,49,urban,40.832924999999996,6.750067500675007
Opel,1300,29,male,slow,yes,35,urban,50.25590769230769,3.9174498887846023
Ford,1400,41,female,distracted,no,25,highway,51.99936508,2.704359943311831
Opel,1500,51,female,speedy,yes,41,highway,48.53328,4.751893958125229
Peugeot,1600,56,male,rational,yes,49,rural,47.2499475,5.8333398148220175
Opel,2500,39,male,distracted,no,30,highway,30.575626667039998,5.519101925126185
Citroen,1300,74,female,rational,yes,41,urban,47.86276923076923,4.81846336320506
Ford,1500,29,male,rational,yes,44,highway,56.622159999999994,4.371080156602998
Toyota,2000,53,female,rational,yes,23,urban,31.110799999999998,4.1585237280944245
Ford,1600,30,male,speedy,yes,21,highway,47.774947499999996,2.472530189593615
Skoda,1300,18,male,nervous,yes,30,rural,61.06147061538462,2.7636085128529957
Volkswagen,1500,62,male,rational,yes,26,urban,43.555119999999995,3.3578141903868017
Toyota,1600,63,male,rational,yes,21,highway,53.083275,2.2252771706342536
Vauxhall,1500,25,male,rational,yes,46,urban,43.555119999999995,5.940748182992033
Nissan,2000,57,female,nervous,no,34,highway,38.219533333799994,5.003985745447742
Dacia,2000,29,male,speedy,yes,31,urban,29.399706000000002,5.931181760797199
Volkswagen,1600,31,male,nervous,yes,37,urban,42.874571249999995,4.8542759480072935
Audi,1600,26,female,distracted,no,25,highway,45.499444444999995,3.090697078070664
BMW,1600,51,female,speedy,yes,24,urban,34.999649999999995,3.857181428957147
Peugeot,1600,28,female,speedy,yes,34,urban,34.999649999999995,5.4643403576892915
Mini,2000,66,male,nervous,yes,28,highway,44.589951,3.5321859851337356
Ford,1600,42,male,rational,no,43,highway,47.774416667249994,5.062856165982421
BMW,1600,20,male,rational,no,37,urban,36.74922417075,5.663384865840352
Skoda,1500,29,male,rational,yes,23,highway,56.622159999999994,2.2848828091333853
Skoda,1600,18,male,rational,yes,46,urban,40.832924999999996,6.33679806185817
Audi,1300,40,male,rational,no,31,highway,58.799282051999995,2.9655974344344704
Toyota,2000,31,male,rational,no,24,highway,38.219533333799994,3.5322252320807594
Toyota,1500,24,female,rational,yes,36,urban,41.48106666666666,4.881745246023889
Hyundai,1000,53,male,rational,yes,38,urban,65.33268,3.271716390633294
Volkswagen,1600,50,male,speedy,yes,22,highway,47.774947499999996,2.5902697224314064
Volkswagen,2000,61,male,distracted,yes,20,urban,32.66634,3.4439119901403092
Citroen,1300,44,female,rational,yes,37,urban,47.86276923076923,4.348369376550908
Volkswagen,1600,31,male,rational,no,21,highway,47.774416667249994,2.472557662456531
Volkswagen,2000,32,female,rational,yes,23,urban,31.110799999999998,4.1585237280944245
Hyundai,1600,35,female,distracted,yes,41,urban,38.8885,5.930416447021612
Mercedes Benz,1000,80,male,rational,no,20,urban,58.7987586732,1.9133056979190375
Vauxhall,1600,21,male,speedy,no,31,highway,42.996975000525,4.055517859055686
Ford,2000,42,male,rational,yes,41,urban,32.66634,7.060019579787634
Ford,2000,41,male,slow,no,35,highway,38.219533333799994,5.15116179678444
BMW,1300,44,female,speedy,no,37,urban,38.768412311999995,5.368416904077834
Nissan,1400,35,female,rational,yes,44,urban,44.444,5.56880568805688
Audi,2000,45,female,rational,yes,31,highway,40.4444,4.311474518103865
Vauxhall,1600,41,female,speedy,no,23,highway,40.949500000499995,3.1593792353611234
Volkswagen,1500,26,male,rational,yes,42,highway,56.622159999999994,4.172394694939225
Opel,1600,45,male,rational,no,33,urban,36.74922417075,5.05112704250626
Skoda,2000,27,male,speedy,yes,25,highway,38.219958000000005,3.6793604011809737
Ford,1300,54,male,nervous,no,39,highway,61.7392461546,3.553250382271715
BMW,1600,25,female,rational,yes,25,highway,50.555499999999995,2.781596463292817
Nissan,2000,49,female,slow,no,35,highway,36.399555556,5.408719886623661
Ford,1600,49,male,speedy,yes,30,urban,36.7496325,4.591882653520413
Nissan,2000,34,male,rational,yes,20,highway,42.46662,2.6491394888503015
Suzuki,1400,40,male,rational,yes,26,urban,46.6662,3.1339599110276812
Renault,2000,19,female,rational,yes,21,urban,31.110799999999998,3.796912969129692
Ford,1600,82,male,rational,yes,44,urban,40.832924999999996,6.061285102646945
Kia,1400,36,female,rational,yes,33,highway,57.77771428571429,3.2127439151032027
Dacia,1600,35,male,speedy,yes,35,highway,47.774947499999996,4.120883649322692
Ford,2000,32,male,rational,no,23,urban,29.3993793366,4.400603105213786
Opel,2000,36,male,rational,yes,23,highway,42.46662,3.046510412177847
Nissan,1400,45,female,distracted,no,45,urban,39.99915556,6.328258595867218
Vauxhall,1500,36,female,rational,yes,36,urban,41.48106666666666,4.881745246023889
Seat,2000,62,female,rational,yes,31,urban,31.110799999999998,5.604966763953355
Audi,1000,60,male,speedy,no,34,highway,68.79516000084001,2.7799920808043
Renault,2000,33,female,slow,yes,34,highway,40.4444,4.7287139875977875
Kia,1400,60,female,speedy,yes,42,urban,39.9996,5.906309063090631
Volkswagen,2000,64,male,rational,yes,22,rural,37.799958,3.2738131613797035
BMW,1600,26,female,rational,yes,24,highway,50.555499999999995,2.6703326047611045
Skoda,1300,28,male,rational,no,37,highway,58.799282051999995,3.5395840346475937
Audi,1400,26,female,rational,yes,42,highway,57.77771428571429,4.08894680104044
BMW,1400,51,female,rational,yes,41,highway,57.77771428571429,3.991590924825191
Mazda,2500,27,male,nervous,yes,35,highway,35.6719608,5.5190406017714615
Citroen,1500,21,male,rational,yes,39,urban,43.555119999999995,5.036721285580202
Ford,2000,74,male,rational,no,44,highway,38.219533333799994,6.475746258814725
Honda,2000,21,female,distracted,yes,30,urban,31.110799999999998,5.424161384470988
Renault,2000,46,male,rational,yes,22,highway,42.46662,2.914053437735332
Renault,1300,31,male,nervous,no,43,urban,47.4913050822,5.0930375482702
Skoda,1300,44,female,speedy,yes,29,highway,55.99993846153846,2.912949629614977
Ford,1300,33,female,speedy,yes,33,highway,55.99993846153846,3.3147357854239394
Opel,2400,45,female,speedy,yes,31,urban,23.3331,7.473289018604471
Volkswagen,2000,53,male,rational,yes,23,rural,37.799958,3.4226228505333265
Toyota,1600,55,male,rational,yes,33,highway,53.083275,3.4968641252823986
Volkswagen,2000,48,female,speedy,no,29,highway,32.7596000004,4.9794564035582916
Hyundai,2000,25,male,rational,yes,45,urban,32.66634,7.748801977815696
Renault,1600,31,female,rational,yes,40,urban,38.8885,5.785772143435719
Toyota,1600,42,female,rational,yes,20,rural,44.99995,2.5000027777808644
Peugeot,1300,31,female,speedy,yes,47,highway,55.99993846153846,4.720987330755308
Volkswagen,1600,65,female,speedy,no,29,urban,31.499335003499997,5.178680755700862
Dacia,1500,16,male,distracted,yes,23,urban,43.555119999999995,2.9703740914960166
Toyota,1500,63,female,rational,yes,45,highway,53.92586666666666,4.6939440318066294
Volvo,1000,31,male,speedy,yes,33,highway,76.43991600000001,2.4283778647794425
Volkswagen,1500,53,male,rational,yes,46,urban,43.555119999999995,5.940748182992033
Citroen,2000,31,male,rational,yes,48,urban,32.66634,8.265388776336742
Volvo,1400,58,female,slow,yes,29,urban,44.444,3.6703492034920346
Opel,1600,29,male,rational,no,31,highway,47.774416667249994,3.6499660731501176
Honda,2000,59,male,rational,yes,36,highway,42.46662,4.768451079930543
Volkswagen,1000,41,male,speedy,yes,48,urban,58.799412000000004,4.591882653520412
Skoda,1500,52,male,speedy,yes,26,urban,39.199608,3.730904655985335
Skoda,1000,21,male,rational,yes,33,highway,84.93324,2.1855400783014987
Volkswagen,1600,59,female,speedy,yes,30,highway,45.49995,3.7087952843904217
Nissan,2000,17,male,rational,yes,34,urban,32.66634,5.854650383238526
Toyota,2000,64,female,distracted,yes,38,highway,40.4444,5.285033280256351
Citroen,1600,40,female,rational,yes,38,highway,50.555499999999995,4.228026624205082
Volkswagen,2000,36,female,rational,no,27,urban,27.999408891999998,5.424221653600473
BMW,2000,27,male,speedy,no,20,urban,26.45944140294,4.251790439820084
